,Receive Order(RO),Prepare Special Bill (PB),Generate Standard Bill (GB),Load Container (LC),Evaluate Size of Order (EO),Ship Inside of Germany (SG),Ship Outside of EU (SO),Send Bill (SB),Ship Inside of EU (SE)
Receive Order(RO),-,-,-,→,→,-,-,-,-
Prepare Special Bill (PB),-,-,-,||,←,||,||,→,||
Generate Standard Bill (GB),-,-,-,||,←,||,||,→,||
Load Container (LC),←,||,||,-,||,-,→,-,→
Evaluate Size of Order (EO),←,→,→,||,-,||,||,-,||
Ship Inside of Germany (SG),-,||,||,-,||,-,-,→,←
Ship Outside of EU (SO),-,||,||,←,||,-,-,→,-
Send Bill (SB),-,←,←,-,-,←,←,-,-
Ship Inside of EU (SE),-,||,||,←,||,→,-,-,-
